dataset,run,seed,nrows,ncols,i_5CV_logloss,p_5CV_logloss,i_TST_logloss,p_TST_logloss,i_geo_complexity,p_geo_complexity,i_nfs_complexity,p_nfs_complexity,i_d,p_d,i_l,p_l,i_f,p_f,i_tree_nfs,p_tree_nfs
ada.csv,14.5,17893.0,4562.0,103.0,0.4595,0.4588,0.4681,0.4686,6733363.3204,5866695.8752,36.7333,14.4667,4.0,4.0,10.5,10.7333,4.7333,4.6,4.7333,4.6
coil2000.csv,14.5,17893.0,9822.0,86.0,0.5882,0.5861,0.6006,0.5965,8300033.1462,10800033.5285,34.7667,15.4333,3.8667,3.9667,11.1667,13.2333,8.1,7.6667,8.1,7.6667
jm1.csv,14.5,17893.0,10885.0,22.0,0.6136,0.6123,0.6145,0.6135,8900027.6602,10133361.5964,10.9667,5.2333,3.8333,3.9,11.0,13.1,4.9333,4.2667,4.9333,4.2667
kdd.csv,14.5,17893.0,10108.0,576.0,0.3132,0.3122,0.3219,0.3227,5966697.8091,6666697.7801,210.6,82.9333,4.0,4.0,12.8,12.6667,9.2667,8.9333,9.2667,8.9333
kr.csv,14.5,17893.0,3196.0,75.0,0.1807,0.1806,0.1868,0.1867,5766699.9515,5800033.5274,33.5333,11.0,4.0,4.0,7.9,7.7333,6.8,6.4667,6.8,6.4667
mushroom.csv,14.5,17893.0,8124.0,126.0,0.0044,0.0036,0.0047,0.0039,3733369.3751,4066702.7103,51.1,18.8333,4.0,4.0,9.7333,9.8333,8.2,7.9,8.2,7.9
scene.csv,14.5,17893.0,2407.0,305.0,0.3205,0.3167,0.3338,0.3317,4033365.8566,4800032.9887,100.1667,43.0,4.0,4.0,5.1,5.5333,4.1,4.4667,4.1,4.4667
sick.csv,14.5517,17956.8276,3772.0,53.0,0.1366,0.1343,0.1493,0.1452,3275892.3268,2275895.9148,22.4138,9.2069,3.2414,3.2759,6.931,6.8621,3.6897,3.3793,3.6897,3.3793
spambase.csv,14.5,17893.0,4601.0,58.0,0.3067,0.3064,0.3238,0.3261,5166698.1107,4933364.5833,21.7667,10.5,4.0,4.0,9.5333,9.7,5.8667,5.5667,5.8667,5.5667
sylva.csv,14.5,17893.0,14395.0,109.0,0.0602,0.0596,0.061,0.0627,2366700.9934,3066701.4769,42.7667,15.5333,4.0,4.0,8.6,9.2,4.5667,4.6,4.5667,4.6
Long.csv,14.5,17893.0,4477.0,20.0,0.1748,0.1758,0.1709,0.1732,6500033.6403,6566700.7128,9.6,3.4,3.9667,3.9,10.6333,10.6333,2.0,2.0,2.0,2.0
MagicTelescope.csv,14.5,17893.0,19020.0,11.0,0.4528,0.453,0.4558,0.4578,8166695.7903,7900029.2241,6.5333,5.5,4.0,4.0,15.3,15.1667,5.3667,5.2,5.3667,5.2
PhishingWebsites.csv,14.5,17893.0,11055.0,69.0,0.1899,0.1886,0.1969,0.1962,6100030.5656,6033363.7832,30.0667,10.0667,4.0,4.0,11.4,11.3333,6.8333,6.7667,6.8333,6.7667
Satellite.csv,14.5,17893.0,5100.0,37.0,0.1536,0.1544,0.1804,0.1936,3666697.0056,2100035.948,10.4333,6.8333,3.7333,3.7,6.9,7.2,4.7667,4.5,4.7667,4.5
SpeedDating.csv,14.5,17893.0,8378.0,501.0,0.5187,0.5163,0.5184,0.5161,10366696.2321,12133363.3467,172.6,58.0333,4.0,4.0,13.7667,15.0667,8.0,7.8,8.0,7.8
Titanic.csv,14.5,17893.0,2201.0,4.0,0.5384,0.5393,0.5512,0.5523,5266694.3433,4800027.45,3.0,2.9,3.9333,3.7667,8.3,7.7,2.9667,2.9,2.9667,2.9
churn.csv,14.5,17893.0,5000.0,34.0,0.3862,0.3858,0.3861,0.3927,7466696.922,5633363.6159,17.2333,11.2667,4.0,4.0,12.1333,12.2333,8.6667,8.4,8.6667,8.4
clean2.csv,14.5,17893.0,6598.0,169.0,0.0002,0.0002,0.0,0.0,2000036.0437,2033369.377,151.7,46.5667,1.0,1.0667,2.0,2.0667,1.0,1.0667,1.0,1.0667
compas.csv,14.5,17893.0,5278.0,20.0,0.6162,0.6159,0.6185,0.618,11666690.9645,11900024.2552,8.1,2.9,4.0,4.0,14.1667,14.3,2.9,2.3,2.9,2.3
dis.csv,14.5,17893.0,3772.0,55.0,0.2856,0.2784,0.3133,0.3155,4633367.103,4500034.9427,20.7667,8.1333,3.4667,3.7,7.6333,8.4667,3.5667,3.8333,3.5667,3.8333
eeg.csv,14.5,17893.0,14980.0,15.0,0.5915,0.5917,0.5937,0.5929,7766692.342,7900025.7927,9.1,8.0,4.0,4.0,13.5333,13.6667,6.8333,6.8,6.8333,6.8
jasmine.csv,14.5,17893.0,2984.0,281.0,0.4348,0.4364,0.4471,0.4526,4666693.3979,4866693.59,97.3,47.8667,3.8333,3.6667,6.3333,6.2,4.4667,4.3,4.4667,4.3
kc1.csv,14.5,17893.0,2109.0,22.0,0.5415,0.5399,0.5526,0.5554,4700028.6643,5766696.3393,6.6333,3.3667,2.9,3.2333,5.5667,6.9,2.8,2.7333,2.8,2.7333
madeline.csv,14.5,17893.0,3140.0,260.0,0.5251,0.5221,0.531,0.5267,10800027.846,11166694.5556,78.6,29.3,4.0,4.0,14.0,14.4,6.8,6.8333,6.8,6.8333
mc1.csv,14.5,17893.0,9466.0,39.0,0.2156,0.2123,0.2393,0.2263,4466699.7009,3666702.1281,12.7333,8.4,4.0,4.0,11.2,10.7333,7.2333,6.5667,7.2333,6.5667
philippine.csv,14.5,17893.0,5832.0,309.0,0.5297,0.5252,0.5346,0.5313,8533359.3262,9533359.2887,99.5667,33.5333,3.9333,3.9333,11.4333,12.4,6.0333,5.7,6.0333,5.7
ringnorm.csv,14.5,17893.0,7400.0,21.0,0.5044,0.5052,0.5229,0.5227,6400030.4662,6433363.7171,5.4333,4.4667,4.0,4.0,9.4333,9.6333,4.4,4.1667,4.4,4.1667
twonorm.csv,14.5,17893.0,7400.0,21.0,0.4781,0.4776,0.4988,0.4987,11566693.712,12066693.8044,5.0,4.6,4.0,4.0,15.9667,15.8333,5.0,4.5667,5.0,4.5667
Bioresponse.csv,5.0,6170.0,3751.0,1777.0,0.5291,0.5258,0.5462,0.5456,6272753.4511,7000026.4749,571.5455,247.4545,3.4545,3.4545,8.9091,8.7273,7.9091,7.3636,7.9091,7.3636
Contaminant.csv,9.0,11106.0,2400.0,31.0,0.4177,0.4225,0.4398,0.4445,6631608.4042,6842134.7318,11.6316,7.2105,4.0,4.0,8.7368,8.8421,6.3684,5.8947,6.3684,5.8947
ECG5000.csv,8.0,9872.0,4998.0,141.0,0.0767,0.0746,0.0949,0.1037,2058859.3347,2176506.3063,43.2941,15.0,3.8824,3.8824,7.1176,7.5882,5.5294,5.2941,5.5294,5.2941
FICO.csv,9.0,11106.0,9871.0,40.0,0.5702,0.5675,0.5704,0.5688,10894762.2783,10315815.1458,15.0,4.2632,4.0,4.0,13.8421,14.7895,3.5789,2.5789,3.5789,2.5789
Insurance.csv,8.0,9872.0,23548.0,74.0,0.693,0.6929,0.6934,0.6932,2823556.8189,2941203.869,49.6471,10.5294,2.0588,2.1765,3.4118,3.8235,2.1765,2.4118,2.1765,2.4118
Intersectional.csv,9.0,11106.0,10000.0,25.0,0.1195,0.1198,0.1263,0.1251,5631613.1037,6210559.9234,10.2632,5.1579,4.0,4.0,13.0526,13.0526,3.5789,3.1579,3.5789,3.1579
UCI.csv,2.5,3085.0,3333.0,3405.0,0.384,0.3817,0.3785,0.3785,7500030.4564,6666697.2129,1099.3333,510.1667,4.0,4.0,11.0,12.0,6.5,6.5,6.5,6.5
credit.csv,9.0,11106.0,16714.0,11.0,0.5052,0.5051,0.5078,0.5077,7473711.6981,7473711.6683,6.2632,4.8947,4.0,4.0,13.4737,13.8421,4.2632,4.2105,4.2632,4.2105
default.csv,8.0,9872.0,30000.0,24.0,0.5672,0.5679,0.565,0.5664,8705909.0913,7882380.4094,14.1765,8.4118,4.0,4.0,14.1765,13.9412,8.5294,6.4706,8.5294,6.4706
heloc.csv,9.2222,11380.2222,10000.0,23.0,0.5771,0.5762,0.5813,0.5798,9722246.7023,9611135.8587,7.1111,3.4444,4.0,4.0,13.1111,13.5556,3.6667,2.6667,3.6667,2.6667
law.csv,9.5,11723.0,20800.0,20.0,0.0,0.0,0.0,0.0,2000036.0437,2100036.0437,17.25,5.15,1.0,1.1,2.0,2.1,1.0,1.1,1.0,1.1
national.csv,9.5,11723.0,4908.0,81.0,0.0018,0.0018,0.0,0.0,2000036.0437,2100036.0437,72.1,21.4,1.0,1.15,2.0,2.15,1.0,1.1,1.0,1.1
shill.csv,7.0,8638.0,6321.0,1066.0,0.0592,0.0601,0.0744,0.0776,3200033.1717,2200035.7043,408.0,214.2667,4.0,3.8667,7.5333,7.2667,4.3333,3.9333,4.3333,3.9333
shrutime.csv,9.0,11106.0,10000.0,29.0,0.4945,0.4944,0.4972,0.4973,10894766.0757,10526345.6452,13.8421,8.2105,4.0,4.0,15.7368,15.5789,6.2105,6.1579,6.2105,6.1579
turing.csv,9.0,11106.0,10000.0,27.0,0.6149,0.6143,0.6145,0.6142,12157919.5111,12631604.1662,13.4737,4.5789,4.0,4.0,14.2105,14.7895,3.2632,2.7368,3.2632,2.7368
