dataset,nrows,ncols,run,seed,i_5CV_logloss,p_5CV_logloss,i_TST_logloss,p_TST_logloss,i_geo_complexity,p_geo_complexity,i_nfs_complexity,p_nfs_complexity,i_best_model,p_best_model,i_d,p_d,i_l,p_l,i_f,p_f,i_tree_nfs,p_tree_nfs,i_tree_used_fs,p_tree_used_fs,i_selected_fs,p_selected_fs
Titanic.csv,2201,4,0,0,0.490512,0.495901,0.481614,0.4951,5000027.768990382,5000027.5352897085,3.0,2.0,"DecisionTreeClassifier(ccp_alpha=8.039724459223569e-05, max_depth=4,
                       random_state=1234)","DecisionTreeClassifier(max_depth=3, random_state=1234)",4,3,10,7,3,2,3,2,['Class' 'Age' 'Sex'],['Class' 'Sex'],['Class' 'Age' 'Sex'],['Class' 'Sex']
kc1.csv,2109,22,1,1234,0.350304,0.348584,0.354541,0.356555,3000029.858034517,3000029.7698219535,7.0,4.0,"DecisionTreeClassifier(ccp_alpha=0.002412569995409108, max_depth=3,
                       min_samples_leaf=79, min_samples_split=30,
                       random_state=1234)","DecisionTreeClassifier(ccp_alpha=0.001836155495298592, max_depth=2,
                       min_samples_leaf=79, min_samples_split=18,
                       random_state=1234)",2,2,4,4,2,3,2,3,['n' 'lOCode'],['n' 'lOCode' 'total_Op'],['loc' 'v(g)' 'ev(g)' 'n' 'lOCode' 'lOBlank' 'uniq_Opnd'],['v(g)' 'n' 'lOCode' 'total_Op']
kc1.csv,2109,22,0,0,0.35338,0.350185,0.362814,0.355659,3000029.343376585,5000030.74400244,7.0,2.0,"DecisionTreeClassifier(ccp_alpha=0.0032647759477594024, max_depth=3,
                       min_samples_leaf=37, min_samples_split=99,
                       random_state=1234)","DecisionTreeClassifier(ccp_alpha=0.00013128341388274377, max_depth=3,
                       min_samples_leaf=81, min_samples_split=211,
                       random_state=1234)",3,3,4,6,3,2,3,2,['l' 'lOCode' 'uniq_Op'],['b' 'lOCode'],['ev(g)' 'iv(g)' 'l' 'lOCode' 'locCodeAndComment' 'uniq_Op' 'branchCount'],['b' 'lOCode']
compas.csv,5278,20,0,0,0.619053,0.618538,0.615694,0.615694,11000023.949622193,11000023.949622193,12.0,3.0,"DecisionTreeClassifier(max_depth=4, min_samples_leaf=133, min_samples_split=100,
                       random_state=1234)","DecisionTreeClassifier(max_depth=4, min_samples_leaf=131, min_samples_split=94,
                       random_state=1234)",4,4,13,13,2,2,2,2,['age' 'priors_count'],['age' 'priors_count'],"['sex_0' 'sex_1' 'age' 'juv_fel_count' 'priors_count' 'age_cat_25-45_0'
 'age_cat_25-45_1' 'age_cat_Lessthan25_0' 'age_cat_Lessthan25_1'
 'race_African-American_0' 'race_Caucasian_0' 'c_charge_degree_M']",['age' 'priors_count' 'race_Caucasian_0']
dis.csv,3772,55,1,1234,0.052191,0.052526,0.05286,0.05286,2000035.8260223586,2000035.8260223586,30.0,14.0,"DecisionTreeClassifier(ccp_alpha=0.0017285708636454195, max_depth=4,
                       min_samples_leaf=9, random_state=1234)","DecisionTreeClassifier(ccp_alpha=0.0011942586724349438, max_depth=3,
                       min_samples_leaf=15, random_state=1234)",3,3,4,4,2,2,2,2,['on_thyroxine_0' 'FTI'],['on_thyroxine_1' 'FTI'],"['sex_0' 'sex_1' 'sex_2' 'on_thyroxine_0' 'on_thyroxine_1'
 'query_on_thyroxine_1' 'sick_0' 'pregnant_0' 'thyroid_surgery_0'
 'I131_treatment_0' 'I131_treatment_1' 'query_hypothyroid_0'
 'query_hypothyroid_1' 'lithium_0' 'goitre_0' 'goitre_1' 'tumor_0'
 'hypopituitary_0' 'psych_0' 'psych_1' 'TSH_measured_1' 'T3_measured_0'
 'T3' 'TT4_measured_0' 'T4U_measured_0' 'FTI' 'TBG_0' 'referral_source_2'
 'referral_source_3' 'referral_source_4']","['sex_1' 'sex_2' 'on_thyroxine_1' 'sick_0' 'query_hypothyroid_0'
 'query_hypothyroid_1' 'lithium_0' 'psych_0' 'T3' 'TT4_measured_1' 'TT4'
 'FTI' 'TBG_measured_0' 'referral_source_4']"
dis.csv,3772,55,0,0,0.05559,0.055583,0.039676,0.040187,2000035.8147873825,3000035.904674199,28.0,2.0,"DecisionTreeClassifier(ccp_alpha=0.0011895009172621838, max_depth=3,
                       min_samples_leaf=23, min_samples_split=69,
                       random_state=1234)","DecisionTreeClassifier(max_depth=3, min_samples_leaf=66, min_samples_split=487,
                       random_state=1234)",3,3,4,5,2,2,2,2,['on_thyroxine_1' 'FTI'],['sex_2' 'FTI'],"['age' 'sex_0' 'sex_1' 'sex_2' 'on_thyroxine_1' 'query_on_thyroxine_0'
 'on_antithyroid_medication_0' 'on_antithyroid_medication_1' 'pregnant_1'
 'thyroid_surgery_0' 'query_hypothyroid_0' 'lithium_0' 'goitre_0'
 'goitre_1' 'tumor_0' 'hypopituitary_1' 'psych_0' 'psych_1'
 'T3_measured_0' 'T3_measured_1' 'TT4_measured_0' 'TT4_measured_1'
 'T4U_measured_0' 'FTI' 'TBG_measured_0' 'TBG_0' 'referral_source_0'
 'referral_source_4']",['sex_2' 'FTI']
kr.csv,3196,75,0,0,0.189933,0.188272,0.176463,0.178489,6000033.596991828,6000033.75215943,32.0,18.0,"DecisionTreeClassifier(max_depth=4, min_samples_leaf=52, min_samples_split=134,
                       random_state=1234)","DecisionTreeClassifier(ccp_alpha=0.0023621408718018824, max_depth=4,
                       min_samples_leaf=51, min_samples_split=178,
                       random_state=1234)",4,4,8,7,6,6,6,6,['bkxbq_f' 'bkxcr_f' 'bxqsq_t' 'r2ar8_f' 'rimmx_t' 'wknck_f'],['bkxbq_f' 'bkxcr_f' 'bxqsq_t' 'rimmx_f' 'wknck_t' 'wkovl_f'],"['bknwy_t' 'bknwy_f' 'bkon8_t' 'bkona_t' 'bkspr_f' 'bkxbq_f' 'bkxcr_t'
 'bkxcr_f' 'blxwp_f' 'bxqsq_t' 'cntxt_t' 'cntxt_f' 'dwipd_l' 'katri_n'
 'mulch_t' 'qxmsq_t' 'qxmsq_f' 'r2ar8_t' 'r2ar8_f' 'reskd_f' 'reskr_t'
 'reskr_f' 'rimmx_t' 'rkxwp_t' 'simpl_t' 'simpl_f' 'skrxp_t' 'spcop_t'
 'thrsk_t' 'thrsk_f' 'wknck_f' 'wtoeg_f']","['bkblk_t' 'bkspr_t' 'bkxbq_f' 'bkxcr_f' 'bkxwp_f' 'blxwp_f' 'bxqsq_t'
 'dsopp_f' 'dwipd_g' 'katri_b' 'mulch_t' 'reskr_t' 'rimmx_f' 'rkxwp_t'
 'rkxwp_f' 'wknck_t' 'wkovl_t' 'wkovl_f']"
kr.csv,3196,75,1,1234,0.182616,0.182616,0.168899,0.168899,6000033.678875575,6000033.678875575,43.0,12.0,"DecisionTreeClassifier(max_depth=4, min_samples_leaf=31, random_state=1234)","DecisionTreeClassifier(ccp_alpha=1.5216677253630526e-05, max_depth=4,
                       min_samples_leaf=23, min_samples_split=99,
                       random_state=1234)",4,4,8,8,7,7,7,7,['bkxbq_f' 'bkxcr_f' 'bxqsq_t' 'r2ar8_t' 'rimmx_f' 'wkna8_f' 'wknck_f'],['bkxbq_f' 'bkxcr_f' 'bxqsq_t' 'r2ar8_f' 'rimmx_t' 'wkna8_t' 'wknck_f'],"['bkblk_t' 'bknwy_t' 'bkspr_f' 'bkxbq_f' 'bkxcr_f' 'blxwp_f' 'bxqsq_t'
 'cntxt_t' 'cntxt_f' 'dsopp_t' 'dsopp_f' 'dwipd_l' 'hdchk_f' 'katri_b'
 'katri_n' 'mulch_t' 'mulch_f' 'qxmsq_t' 'qxmsq_f' 'r2ar8_t' 'r2ar8_f'
 'reskd_t' 'reskr_t' 'reskr_f' 'rimmx_f' 'rkxwp_t' 'rxmsq_f' 'simpl_t'
 'simpl_f' 'skach_t' 'spcop_t' 'spcop_f' 'stlmt_t' 'stlmt_f' 'thrsk_t'
 'wkcti_t' 'wkna8_f' 'wknck_f' 'wkpos_t' 'wkpos_f' 'wtoeg_n' 'wtoeg_t'
 'wtoeg_f']","['bkblk_f' 'bkxbq_f' 'bkxcr_f' 'bxqsq_t' 'dsopp_t' 'r2ar8_f' 'rimmx_t'
 'skrxp_t' 'stlmt_t' 'wkcti_f' 'wkna8_t' 'wknck_f']"
sick.csv,3772,53,1,1234,0.05901,0.058024,0.095269,0.08784,1000035.8653665627,1000035.9236079158,28.0,4.0,"DecisionTreeClassifier(ccp_alpha=0.001559328795546342, max_depth=3,
                       min_samples_leaf=12, min_samples_split=15,
                       random_state=1234)","DecisionTreeClassifier(ccp_alpha=0.00039324522009889003, max_depth=3,
                       min_samples_leaf=19, min_samples_split=21,
                       random_state=1234)",3,3,4,5,3,3,3,3,['T3' 'TT4' 'referral_source_other'],['T3' 'TT4' 'referral_source_other'],"['age' 'sex_F' 'sex_M' 'on_thyroxine_f' 'query_on_thyroxine_t'
 'on_antithyroid_medication_f' 'on_antithyroid_medication_t' 'sick_f'
 'sick_t' 'pregnant_f' 'thyroid_surgery_t' 'I131_treatment_t'
 'query_hypothyroid_f' 'query_hyperthyroid_t' 'lithium_f'
 'hypopituitary_t' 'TSH_measured_t' 'TSH_measured_f' 'TSH' 'T3_measured_t'
 'T3' 'TT4_measured_t' 'TT4' 'T4U_measured_t' 'referral_source_SVHC'
 'referral_source_other' 'referral_source_STMW' 'referral_source_SVHD']",['query_hyperthyroid_t' 'T3' 'TT4' 'referral_source_other']
sick.csv,3772,53,0,0,0.061088,0.064311,0.062056,0.072377,2000035.721221377,2000034.9293646854,27.0,15.0,"DecisionTreeClassifier(ccp_alpha=0.0006393278019697293, max_depth=4,
                       min_samples_split=109, random_state=1234)","DecisionTreeClassifier(ccp_alpha=0.0009251200664543331, max_depth=3,
                       min_samples_leaf=4, min_samples_split=9,
                       random_state=1234)",4,3,7,6,5,4,5,4,['hypopituitary_f' 'T3' 'TT4' 'FTI' 'referral_source_other'],['T3' 'TT4' 'FTI' 'referral_source_other'],"['age' 'sex_F' 'on_thyroxine_f' 'on_thyroxine_t' 'query_on_thyroxine_f'
 'query_on_thyroxine_t' 'sick_t' 'pregnant_f' 'query_hyperthyroid_f'
 'query_hyperthyroid_t' 'lithium_t' 'tumor_f' 'tumor_t' 'hypopituitary_f'
 'TSH_measured_t' 'TSH' 'T3_measured_t' 'T3' 'TT4_measured_t' 'TT4'
 'T4U_measured_t' 'FTI_measured_f' 'FTI' 'TBG_measured_f'
 'referral_source_SVHC' 'referral_source_other' 'referral_source_STMW']","['age' 'sex_F' 'query_on_thyroxine_t' 'pregnant_t' 'query_hyperthyroid_t'
 'TSH_measured_f' 'TSH' 'T3' 'TT4_measured_t' 'TT4' 'FTI'
 'referral_source_SVHC' 'referral_source_other' 'referral_source_SVI'
 'referral_source_SVHD']"
