dataset,run,seed,nrows,ncols,i_5CV_logloss,p_5CV_logloss,i_TST_logloss,p_TST_logloss,i_geo_complexity,p_geo_complexity,i_nfs_complexity,p_nfs_complexity,i_d,p_d,i_l,p_l,i_f,p_f,i_tree_nfs,p_tree_nfs
Bioresponse.csv,5.0,6170.0,3751.0,1777.0,0.5291,0.5258,0.5462,0.5456,6272753.4511,7000026.4749,571.5455,247.4545,3.4545,3.4545,8.9091,8.7273,7.9091,7.3636,7.9091,7.3636
Contaminant.csv,9.0,11106.0,2400.0,31.0,0.4177,0.4225,0.4398,0.4445,6631608.4042,6842134.7318,11.6316,7.2105,4.0,4.0,8.7368,8.8421,6.3684,5.8947,6.3684,5.8947
ECG5000.csv,8.0,9872.0,4998.0,141.0,0.0767,0.0746,0.0949,0.1037,2058859.3347,2176506.3063,43.2941,15.0,3.8824,3.8824,7.1176,7.5882,5.5294,5.2941,5.5294,5.2941
FICO.csv,9.0,11106.0,9871.0,40.0,0.5702,0.5675,0.5704,0.5688,10894762.2783,10315815.1458,15.0,4.2632,4.0,4.0,13.8421,14.7895,3.5789,2.5789,3.5789,2.5789
Insurance.csv,8.0,9872.0,23548.0,74.0,0.693,0.6929,0.6934,0.6932,2823556.8189,2941203.869,49.6471,10.5294,2.0588,2.1765,3.4118,3.8235,2.1765,2.4118,2.1765,2.4118
Intersectional.csv,9.0,11106.0,10000.0,25.0,0.1195,0.1198,0.1263,0.1251,5631613.1037,6210559.9234,10.2632,5.1579,4.0,4.0,13.0526,13.0526,3.5789,3.1579,3.5789,3.1579
UCI.csv,2.5,3085.0,3333.0,3405.0,0.384,0.3817,0.3785,0.3785,7500030.4564,6666697.2129,1099.3333,510.1667,4.0,4.0,11.0,12.0,6.5,6.5,6.5,6.5
credit.csv,9.0,11106.0,16714.0,11.0,0.5052,0.5051,0.5078,0.5077,7473711.6981,7473711.6683,6.2632,4.8947,4.0,4.0,13.4737,13.8421,4.2632,4.2105,4.2632,4.2105
default.csv,8.0,9872.0,30000.0,24.0,0.5672,0.5679,0.565,0.5664,8705909.0913,7882380.4094,14.1765,8.4118,4.0,4.0,14.1765,13.9412,8.5294,6.4706,8.5294,6.4706
heloc.csv,9.2222,11380.2222,10000.0,23.0,0.5771,0.5762,0.5813,0.5798,9722246.7023,9611135.8587,7.1111,3.4444,4.0,4.0,13.1111,13.5556,3.6667,2.6667,3.6667,2.6667
law.csv,9.5,11723.0,20800.0,20.0,0.0,0.0,0.0,0.0,2000036.0437,2100036.0437,17.25,5.15,1.0,1.1,2.0,2.1,1.0,1.1,1.0,1.1
national.csv,9.5,11723.0,4908.0,81.0,0.0018,0.0018,0.0,0.0,2000036.0437,2100036.0437,72.1,21.4,1.0,1.15,2.0,2.15,1.0,1.1,1.0,1.1
shill.csv,7.0,8638.0,6321.0,1066.0,0.0592,0.0601,0.0744,0.0776,3200033.1717,2200035.7043,408.0,214.2667,4.0,3.8667,7.5333,7.2667,4.3333,3.9333,4.3333,3.9333
shrutime.csv,9.0,11106.0,10000.0,29.0,0.4945,0.4944,0.4972,0.4973,10894766.0757,10526345.6452,13.8421,8.2105,4.0,4.0,15.7368,15.5789,6.2105,6.1579,6.2105,6.1579
turing.csv,9.0,11106.0,10000.0,27.0,0.6149,0.6143,0.6145,0.6142,12157919.5111,12631604.1662,13.4737,4.5789,4.0,4.0,14.2105,14.7895,3.2632,2.7368,3.2632,2.7368
